NSC,NSC_SUB,DICT,REGION,1,2,3,4,5,6,7,8,9,10,11,12
81,D,,,1.05 ,0.63 ,1.14 ,1.09 ,0.95 ,1.03 ,1.16 ,1.00 ,0.89 ,0.94 ,1.11 ,1.02 
81,K,,,1.20 ,0.77 ,1.24 ,1.08 ,1.12 ,0.90 ,0.99 ,0.85 ,0.84 ,0.86 ,1.11 ,1.03 
81,L,,,1.02 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
82,,,,1.16 ,0.77 ,0.96 ,0.93 ,0.95 ,0.93 ,1.02 ,0.96 ,0.96 ,1.16 ,1.04 ,1.15 
83,A,,,1.02 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
83,B,,,1.02 ,0.92 ,1.02 ,0.98 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
93,B,,,1.16 ,0.77 ,0.96 ,0.93 ,0.95 ,0.93 ,1.02 ,0.96 ,0.96 ,1.16 ,1.04 ,1.15 
94,A,,,1.02,0.92,1.02,0.99,1.02,0.99,1.02,1.02,0.99,1.02,0.99,1.02
94,B,,,1.02 ,0.87 ,0.95 ,0.97 ,0.95 ,1.06 ,0.99 ,1.08 ,1.16 ,1.04 ,0.97 ,0.95 
95,,,,1.02 ,0.60 ,0.85 ,0.79 ,0.81 ,0.88 ,1.24 ,1.26 ,1.33 ,1.14 ,1.02 ,1.05 
100,,,,1.02 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
101,A,,,1.28 ,0.44 ,0.79 ,0.87 ,0.94 ,0.84 ,1.11 ,1.02 ,1.06 ,1.23 ,1.16 ,1.28 
101,B,,,1.28 ,0.44 ,0.79 ,0.87 ,0.94 ,0.84 ,1.11 ,1.02 ,1.06 ,1.23 ,1.16 ,1.28 
101,C,,,1.28 ,0.44 ,0.79 ,0.87 ,0.94 ,0.84 ,1.11 ,1.02 ,1.06 ,1.23 ,1.16 ,1.28 
101,D,,,1.28 ,0.44 ,0.79 ,0.87 ,0.94 ,0.84 ,1.11 ,1.02 ,1.06 ,1.23 ,1.16 ,1.28 
106,,,,1.12 ,0.75 ,0.96 ,0.93 ,1.09 ,0.92 ,1.03 ,1.03 ,0.91 ,1.07 ,1.03 ,1.17 
7,B,4200,高雄市,1.01 ,0.91 ,1.01 ,0.98 ,1.02 ,0.98 ,1.02 ,1.02 ,0.99 ,1.03 ,1.00 ,1.03 
7,B,3600,臺中市,1.00 ,0.91 ,1.01 ,0.98 ,1.01 ,0.98 ,1.02 ,1.02 ,1.00 ,1.03 ,1.00 ,1.05 
7,B,4100,臺南市,1.01 ,0.92 ,1.02 ,0.98 ,1.01 ,0.98 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.03 
63,A,3600,臺中市,0.00 ,0.00 ,0.00 ,0.00 ,0.05 ,3.29 ,8.65 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,4100,臺南市,0.00 ,0.00 ,0.00 ,0.00 ,2.74 ,8.77 ,0.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,A,4200,高雄市,0.00 ,0.00 ,0.00 ,0.00 ,11.06 ,0.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,B,3600,臺中市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.39 ,10.34 ,1.27 
63,B,4100,臺南市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.04 ,0.90 ,10.00 ,1.06 
63,B,4200,高雄市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.38 ,1.62 ,0.00 
7,C,0100,臺北市,1.01 ,0.91 ,1.01 ,0.98 ,1.01 ,0.98 ,1.02 ,1.02 ,0.99 ,1.03 ,1.00 ,1.03 
