dict,x,y,name
5300,264000,2786000,sea
4615,247000,2505000,taidongxianjinfengxiang
5300,155000,2531000,sea
4507,291000,2612000,hualianxianguangfuxiang
3310,248000,2735000,xinzhuxianbaoshanxiang
3621,242000,2673000,taizhongshihepingqu
4511,287000,2663000,hualianxianxiulinxiang
5300,167000,2463000,sea
4327,224000,2519000,pingdongxianwutaixiang
4016,200000,2598000,jiayixianfanluxiang
4014,200000,2598000,jiayixianzhuqixiang
4511,297000,2693000,hualianxianxiulinxiang
3902,196000,2615000,yunlinxiandounanzhen
3412,302000,2707000,yilanxiannanaoxiang
3908,196000,2615000,yunlinxiandapixiang
4214,182000,2529000,gaoxiongshialianqu
3518,242000,2708000,miaolixiantaianxiang
5300,357000,2703000,sea
4508,301000,2597000,hualianxianfengbinxiang
3308,251000,2759000,xinzhuxianxinfengxiang
4223,204000,2542000,gaoxiongshishanlinqu
5300,206000,2708000,sea
3506,224000,2718000,miaolixianhoulongzhen
3909,202000,2633000,yunlinxiancitongxiang
4614,228000,2485000,taidongxiandarenxiang
5300,358000,2785000,sea
4607,273000,2538000,taidongxiandonghexiang
4513,255000,2578000,hualianxianzhuoxixiang
4511,285000,2642000,hualianxianxiulinxiang
4512,285000,2642000,hualianxianwanrongxiang
5300,140000,2621000,sea
4204,199000,2525000,gaoxiongshimeinongqu
3701,210000,2666000,zhanghuaxianzhanghuashi
4327,228000,2526000,pingdongxianwutaixiang
5300,142000,2517000,sea
3725,190000,2635000,zhanghuaxianzhutangxiang
4605,235000,2469000,taidongxiandawuxiang
3619,226000,2667000,taizhongshitaipingqu
5300,313000,2651000,sea
3812,238000,2631000,nantouxianxinyixiang
4315,209000,2490000,pingdongxianxinpixiang
3811,238000,2631000,nantouxianshuilixiang
3207,288000,2767000,taoyuanshiguishanqu
4506,307000,2628000,hualianxianshoufengxiang
3812,268000,2625000,nantouxianxinyixiang
3813,270000,2652000,nantouxianrenaixiang
4513,267000,2572000,hualianxianzhuoxixiang
3813,245000,2664000,nantouxianrenaixiang
5300,250000,2803000,sea
4602,284000,2555000,taidongxianchenggongzhen
112,297000,2779000,taibeishibeitouqu
3813,271000,2680000,nantouxianrenaixiang
3112,331000,2775000,xinbeishiruifangqu
5300,159000,2668000,sea
4226,252000,2579000,gaoxiongshitaoyuanqu
5300,166000,2484000,sea
4604,261000,2531000,taidongxianbeinanxiang
4327,232000,2516000,pingdongxianwutaixiang
4616,311000,2435000,taidongxianlanyuxiang
3813,275000,2644000,nantouxianrenaixiang
3812,241000,2627000,nantouxianxinyixiang
4513,279000,2589000,hualianxianzhuoxixiang
4610,268000,2548000,taidongxianchishangxiang
3812,249000,2632000,nantouxianxinyixiang
3812,269000,2632000,nantouxianxinyixiang
4013,200000,2586000,jiayixianzhongbuxiang
3720,215000,2631000,zhanghuaxianershuixiang
4018,221000,2590000,jiayixianalishanxiang
4511,284000,2665000,hualianxianxiulinxiang
2106,159000,2548000,tainanshiannanqu
3621,245000,2683000,taizhongshihepingqu
3621,251000,2687000,taizhongshihepingqu
3812,260000,2610000,nantouxianxinyixiang
4014,207000,2596000,jiayixianzhuqixiang
3313,270000,2729000,xinzhuxianjianshixiang
3617,199000,2682000,taizhongshilongjingqu
4314,201000,2495000,pingdongxianzhutianxiang
3906,180000,2607000,yunlinxianbeigangzhen
4002,164000,2580000,jiayixianbudaizhen
3412,318000,2706000,yilanxiannanaoxiang
5300,185000,2684000,sea
3109,296000,2746000,xinbeishisanxiaqu
5300,158000,2662000,sea
5300,134000,2638000,sea
4118,156000,2565000,tainanshijiangjunqu
4513,276000,2590000,hualianxianzhuoxixiang
4607,280000,2540000,taidongxiandonghexiang
4615,237000,2495000,taidongxianjinfengxiang
4613,242000,2561000,taidongxianhaiduanxiang
3129,314000,2750000,xinbeishiwulaiqu
105,299000,2768000,taibeishiwanhuaqu
4501,309000,2655000,hualianxianhualianshi
5300,346000,2649000,sea
4605,237000,2479000,taidongxiandawuxiang
4613,244000,2555000,taidongxianhaiduanxiang
3129,299000,2731000,xinbeishiwulaiqu
3122,309000,2796000,xinbeishishimenqu
4614,237000,2459000,taidongxiandarenxiang
4614,227000,2484000,taidongxiandarenxiang
3313,270000,2732000,xinzhuxianjianshixiang
3812,253000,2612000,nantouxianxinyixiang
3904,191000,2627000,yunlinxianxiluozhen
3812,238000,2629000,nantouxianxinyixiang
3811,238000,2629000,nantouxianshuilixiang
4330,218000,2489000,pingdongxianlaiyixiang
5300,160000,2521000,sea
4107,175000,2560000,tainanshishanhuaqu
3722,193000,2643000,zhanghuaxianpitouxiang
4004,194000,2605000,jiayixianminxiongxiang
103,304000,2769000,taibeishidaanqu
3125,329000,2768000,xinbeishishuangxiqu
5300,150000,2620000,sea
3813,265000,2669000,nantouxianrenaixiang
112,307000,2787000,taibeishibeitouqu
111,307000,2787000,taibeishishilinqu
4605,241000,2476000,taidongxiandawuxiang
3621,290000,2692000,taizhongshihepingqu
3617,199000,2679000,taizhongshilongjingqu
3301,269000,2737000,xinzhuxianguanxizhen
4012,193000,2592000,jiayixianshuishangxiang
3307,269000,2737000,xinzhuxianhengshanxiang
